Peak id,Mass,RT,UN_1.mzXML,UN4.mzXML,INFEC_1.mzXML,INFEC_2.mzXML,INFEC_3.mzXML,INFEC_4.mzXML,HK1.mzXML,HK2.mzXML,HK3.mzXML,HK4.mzXML,Polarity,FrAnK Annotation,PiMP Annotation,KEGG ID
928,274.9359,1874.52,1843347.88,1745371.13,2605608.5,1216692.63,1570374.13,2010446.38,1571190.13,2662422.5,1779342.13,2097981.5,positive,No Fragments,,
929,358.9183,1874.06,1142939.88,1051129.63,1687875.13,673332.81,936184.06,1281337.88,800026.63,1641809.38,997734.19,1224742,positive,Annotate in FrAnK,Folpet,"C18860,HMDB31792"
930,442.9006,1873.82,470847.5,508638.56,658336.94,309327.34,401301.25,590298.88,340594.44,824111.06,543444.19,544480.25,positive,No Fragments,"1-Amino-2,4-dibromoanthraquinone",C19211
931,170.0924,759.04,397779.88,303800.09,218432.97,190261.92,548590.5,181701.23,304699.28,210017.11,324711.63,246977.25,positive,D-3-Methylhistidine (C7H11N3O2) Prob = 80.9900000000,"1-Methylhistidine,2-amino-4-cyano-butanoic acid,3-Methylhistidine,4-amino-4-cyano-butanoic acid,5,6-Dihydrothymine,Dihydrothymine,L-Cyclo(alanylglycyl),N(pi)-Methyl-L-histidine,Nalpha-Methylhistidine,Squamolone,alpha-Amino-gamma-cyanobutanoate,gamma-Amino-gamma-cyanobutanoate,pyroglutamine","C00906,C01152,C03298,C05715,C05717,HMDB00001,HMDB00079,HMDB00479,HMDB29874,HMDB31547,HMDB62558,LMFA01100037,LMFA01100038"
932,144.9275,1916.55,1959141.13,1902008,2015215,1828959.75,1776770,1906312.75,1903839.63,1954495,1924749.88,1856903.88,positive,No Fragments,,
933,146.9256,1921.2,159601.06,143560.47,158891.27,157446.64,148193.47,131710.66,147239.38,147407.19,152455.66,140741.83,positive,No Fragments,,
934,146.9256,1930.32,155688.2,143560.47,158891.27,125870.04,140925.81,128889.02,143031.69,136126.95,152455.66,140741.83,positive,No Fragments,,
935,317.2152,246.94,1175861.75,1108345.38,1421845.75,853973.81,735417.94,648202.38,1130737.13,1070907.88,1484678.38,1081656,positive,No Fragments,,
936,81.0447,43.42,1969325.5,1770317.13,2411887.25,1844241.5,1730232.25,1903100.88,1879474.13,1815179.5,1801691.5,1757740.75,positive,No Fragments,"Pyrazine,Pyrimidine","C00396,HMDB03361,HMDB34176"
937,130.9665,2552.75,2347209,2321085.25,2337796.75,2239168.75,2207140,2336582,2301553.5,2306817.5,2347074.25,2265695.25,positive,Annotate in FrAnK,,
938,194.1176,2555.4,1126628.5,1179871.88,1173789.75,1249118.88,1096538.75,1079509.25,1102859,1089623.13,1216549.75,1292449.88,positive,No Fragments,"(-)-Salsoline,(Dimethoxymethyl)benzene,(R)-1,2-dimethyl-5,6-dihydroxy-tetrahydroisoquinoline,(R)-N-Methylsalsolinol,(S)-N-Methylsalsolinol,1-(2-Furanyl)-1-pentanone,2,3,5-Trimethacarb,2,6,6-Trimethyl-2-cyclohexene-1,4-dione,2,6Z-Nonadien-4-olide,2-(Ethoxymethyl)phenol,2-Isopropoxyphenol,2-Isopropyl-1,4-benzenediol,2-Isopropylphenyl methylcarbamate,2-Methylpropyl 2-aminobenzoate,2-Propenyl 2,4-hexadienoate,3,4-Methylenedioxymethamphetamine,3,5-Dimethoxytoluene,3-(4-Hydroxyphenyl)-1-propanol,3-(5-Methyl-2-furanyl)butanal,3-Isopropylcatechol,4-(Ethoxymethyl)phenol,4-Ethyl-2-methoxyphenol,Butamben,Butyl 2-aminobenzoate,Ethyl N-ethylanthranilate,Heliamine,Isoprocarb","C01014,C07577,C07875,C09460,C09640,C18418,C18957,HMDB03626,HMDB03892,HMDB12469,HMDB12484,HMDB31797,HMDB32132,HMDB32599,HMDB35072,HMDB36169,HMDB36227,HMDB36906,HMDB37698,HMDB39801,HMDB39956,HMDB40175,HMDB40216,HMDB40449,HMDB41326,HMDB41804,HMDB59853,LMFA07040019"
939,132.9647,2552.85,1136396.13,1099884.63,1014625.38,995870.06,1022893.25,1031527.81,1003032.38,1067723.13,1160156.38,977628.63,positive,Annotate in FrAnK,,
940,306.3001,2567.15,529519.25,486553.09,459757.91,488598.47,489155.47,589195.31,590753.13,469725.25,562640,494215.47,positive,No Fragments,,
941,251.0465,2564.37,377608.09,428843.91,400854.53,336273.84,401999.84,393955.06,459705.84,396399.97,363687.69,347590.09,positive,No Fragments,"(+)-cis-3,4-Dihydrophenanthrene-3,4-diol,(R)-Benzoin,(S)-Benzoin,4,4'-Dihydroxystilbene,Anthracene-9,10-dihydrodiol,Anthracene-cis-1,2-dihydrodiol,Benzoin,Benzyl Benzoate,Benzyl benzoate,Pinosylvin,trans-9(S),10(S)-Dihydrodiolphenanthrene","C01408,C01745,C04468,C11428,C12537,C14233,C16203,C16205,C20227,C20228,HMDB14814,HMDB32039,LMPK13090001,LMPK13090018"
942,172.1161,2555.39,357558.56,338224.72,317158.97,300336.16,367451.25,296994.75,341420.5,326852.5,320236.44,369057.88,positive,No Fragments,,
943,401.2475,2570.35,365950.88,344579.88,356920.28,340489.84,391389.75,363063.84,343854.09,348776.19,359102.97,382870.5,positive,No Fragments,,
944,309.2035,2563.39,296126.09,388464,352116.63,416565.13,306706.16,321173.41,407161.41,338191.25,329837.78,354235.03,positive,No Fragments,"10-hydroxy-16-oxo-hexadecanoic acid,14,14,14-Trifluoro-11E-tetradecenyl acetate,14,14,14-Trifluoro-11Z-tetradecenyl acetate,16-Hydroxy-10-oxohexadecanoic acid,2,2,4-Trimethyl-1,3-pentadienol diisobutyrate,2,3-Dihydroxycyclopentaneundecanoic acid,9-hydroxy-16-oxo-hexadecanoic acid,Hexadecanedioate,Hexadecanedioic acid","C14987,C19615,HMDB00672,HMDB41287,HMDB59777,LMFA01170022,LMFA01170059,LMFA01170060,LMFA07010327,LMFA07010328"
945,570.4575,2561.61,314589.66,277773.13,253686.38,283598.84,341523.81,414200.53,262867.31,308883.88,302185.97,316890.31,positive,No Fragments,,
946,261.1595,2559.09,287561.38,260370.92,283163.28,307076.5,264573.28,323205.09,299739.16,316747.41,286896.03,352798.44,positive,No Fragments,"1-(2,3-Dihydro-6-methyl-1H-pyrrolizin-5-yl)-1,4-pentanedione,Baptifoline,Cyclo(L-leucyl-L-phenylalanyl),Cyclohexyl 2-aminobenzoate,Darlingine,Ritalinic acid,Tanakamine,Tanakine,cis-3-Hexenyl 2-aminobenzoate","C10755,C10857,C20519,HMDB33429,HMDB33430,HMDB33481,HMDB37694,HMDB37695,HMDB40006,HMDB42008"
947,236.0733,2551.04,215183.31,278042.5,273374.88,290749.63,263606.94,226526.7,301001.44,247619.81,249807.75,309997.09,positive,No Fragments,"Bis(2-furanylmethyl) sulfide,Carboxin","C11255,HMDB41503"
948,439.3821,2567.94,269813.84,246841.92,247062.73,264475.81,267696.25,295808.22,255581.5,299110.34,285137.59,264781.47,positive,No Fragments,,
949,556.4418,2560.51,201009.14,158673.42,183136.16,166785.56,200176.13,223081.22,183444.89,206175,184273.06,169558.09,positive,No Fragments,,
950,284.1966,2566.3,137004.53,148766.92,155421.39,160880.08,144875.78,159678.13,145303.11,158580.08,135533.16,156273.36,positive,Annotate in FrAnK,,
951,216.1959,2561.81,205565.17,253750.13,259999.81,240728.58,210024.17,263241.78,214007.41,254046.09,208369.98,212238.33,positive,No Fragments,"(±)-Hydroxycitronellol,1,1-Dimethoxyoctane,12-amino-dodecanoic acid,Isooctanedioldibutyrate,xi-1-Ethoxy-1-hexyloxyethane","HMDB30083,HMDB37639,HMDB40267,HMDB61936,LMFA01100005"
952,351.3297,2565,167542.06,199774.42,163526.38,212113.7,186618.7,233068.66,186550.78,197515.22,182314.45,161061.63,positive,No Fragments,,
953,332.1854,2548.96,210036.7,234596.45,204508.27,211407.23,195454.3,214996.14,171271.08,199563.41,185923.69,171046.31,positive,No Fragments,"1-Dehydro-[6]-gingerdione,3-Polyprenyl-4,5-dihydroxybenzoate,Bucharaine,Bucharidine,Erythratidine,Laurenobiolide,N-(p-Hydroxyphenethyl)actinidine,O-Methyllycorenine,Oudemansin A,Pandamarilactone 31,Salmefamol,Tetramethrin,Tulipinolide,[6]-Dehydrogingerdione,clavirin I,clavirin II,epi-Tulipinolide","C09424,C09492,C09564,C09566,C09984,C10649,C10652,C11771,C12241,C17746,C18373,HMDB29474,HMDB30347,HMDB36771,HMDB39766,HMDB39949,HMDB60380,LMFA03120025,LMFA03120026"
954,292.2844,2567.76,221138.58,207532.03,166107.94,190663.72,175650.11,214037.3,231971.58,198782.72,196338.53,191712.8,positive,No Fragments,,
955,272.2581,2568.28,122065.95,138752.92,117795.07,149958.41,133302.77,161392.7,186745.3,172447.11,129070.51,145348.22,positive,No Fragments,"1,1-Dihexyloxyethane,2,2,9,9-tetramethyl-undecan-1,10-diol,2-amino-hexadecanoic acid,2R-aminohexadecanoic acid,2S-aminohexadecanoic acid,C16 Sphingosine,Dodecanal dimethyl acetal,Myristoyl-EA","HMDB32246,HMDB38678,LMFA01100016,LMFA01100017,LMFA01100018,LMFA05000017,LMFA08040042,LMSP01040008"
956,381.3401,2568.57,170020.05,154171.41,149401.69,148922.38,133041.48,187461.91,130219.05,209909.77,169473.41,151119.25,positive,No Fragments,,
957,278.9029,2551.2,188037.66,166006.33,166469.34,194897.77,168921.72,130382.15,175140.11,146217.77,204705.59,194626.73,positive,No Fragments,,
958,335.1575,2554.43,112114.77,135904.52,163941.09,195294.17,175424.73,168825.52,149552.92,141020.44,137286.61,203462.3,positive,No Fragments,"16-bromo-hexadecanoic acid,2-bromo-hexadecanoic acid,3-bromohexadecanoic acid","LMFA01030674,LMFA01090010,LMFA01090011"
959,244.227,2568.3,142207.73,104701.98,129593.03,109658.07,99952.29,129420.57,129617.59,127848.38,114442.95,129990.09,positive,No Fragments,"1,1-Dimethoxydecane,2-amino-tetradecanoic acid,Acetaldehyde diisoamyl acetal,C14 sphingosine,Lauroyl-EA","HMDB32153,HMDB37310,LMFA01100007,LMFA08040041,LMSP01040006"
960,244.227,2568.3,142207.73,104701.98,129593.03,109658.07,99952.29,129420.57,129617.59,127848.38,114442.95,129990.09,positive,No Fragments,"1,1-Dimethoxydecane,2-amino-tetradecanoic acid,Acetaldehyde diisoamyl acetal,C14 sphingosine,Lauroyl-EA","HMDB32153,HMDB37310,LMFA01100007,LMFA08040041,LMSP01040006"
961,275.1751,2569.04,131301.64,171512.03,149564.58,146583.19,124260.34,153303.66,148665.45,156953.69,151161.97,152760.61,positive,No Fragments,"Allyxycarb,Dexmethylphenidate,Methylphenidate,Normeperidine,Thalictroidine","C07196,C18947,HMDB14566,HMDB15647,HMDB34684,HMDB41958"
962,239.1278,2567.7,117974.88,153095.81,111126.05,107458.39,97952.73,145946.58,127647.63,121884.16,121641.27,121689.03,positive,No Fragments,"1,2,3,4-Tetramethoxy-5-(2-propenyl)benzene,2,2,4,4,-Tetramethyl-6-(1-oxopropyl)-1,3,5-cyclohexanetrione,2-Hexenoylcholine,3-[(3aS,4S,7aS)-7a-Methyl-1,5-dioxo-octahydro-1H-inden-4-yl]propanoate","C20199,HMDB13162,HMDB33191,HMDB34046"
963,313.1907,2570.32,143327.64,127566.16,124925.54,107553.09,112813.06,129181.6,139151.03,149241.84,112090.07,119200.95,positive,No Fragments,"2-chloro-palmitic acid,4-Hydroxyatomoxetine,Apoatropine,Napropamide,Norajmaline,Praziquantel","C07367,C10843,C11810,C18868,HMDB15191,HMDB60766,LMFA01090046"
964,226.1801,2565.67,97171.13,106467.59,96002.55,103884.98,100873.66,113468.2,126514.98,92632.22,97925.73,112987.48,positive,No Fragments,"(2S,6R,8S)-2,8-Dimethyl-1,7-dioxaspiro[5.5]undecane,(2S,6S,8S)-2,8-Dimethyl-1,7-dioxaspiro[5.5]undecane,(E)-3-Heptenyl 2-methylpropanoate,(Z)-3-Hexenyl 3-methylbutanoate,(Z)-3-Methyl-3-decenoic acid,(Z)-3-Methyl-4-decenoic acid,(x)-1-Nonen-3-yl acetate,10-hendecenoic acid,11-Undecanolactone,11-undecanolactone,2,3-Undecanedione,2,7-Diethyl-1,6-dioxaspiro[4.4]nonane,2,7-Dimethyl-1,6-dioxaspiro[4.6]undecane,2,7-dimethyl-6-nonenoic acid,2-Ethyl-1,7-dioxaspiro[5.5]undecane,2-Ethyl-7-methyl-1,6-dioxaspiro[4.5]decane,2-Ethylhexyl acrylate,2-Hexenyl isovalerate,2-Hexenyl valerate,2-Methyl-1,7-dioxaspiro[5.6]dodecane,2-Methyl-7-propyl-1,6-dioxaspiro[4.4]nonane,2-Nonenyl acetate,2-Propenyl octanoate,2-hendecenoic acid,2S-Ethyl-7-methyl-1,6-dioxaspiro[4.5]decane,2Z-undecenoic acid,3-Hexenyl 2-methylbutyrate,3E-undecenoic acid,4-ethyl-2-methyl-2-octenoic acid,4-undecenoic acid,5-Hexyldihydro-4-methyl-2(3H)-furanone,5-Hexyldihydro-5-methyl-2(3H)-furanone,5-Octenyl propanoate,5E-undecenoic acid,5Z-undecenoic acid,6-Hexyltetrahydro-2H-pyran-2-one,6-Methyl-5-hepten-2-one propyleneglycol acetal,6-undecenoic acid,6E-Nonenyl acetate,6Z-undecenoic acid,7-Ethyl-2R-methyl-1,6-dioxaspiro[4.5]decane,7-undecenoic acid,8Z-undecenoic acid,9-hendecenoic acid,9Z-undecenoic acid,Citronellyl formate,Cyclohexyl 3-methylbutanoate,Cyclohexyl pentanoate,Ethyl (E)-2-nonenoate,Ethyl 3-cyclohexylpropionate,Methyl 2-decenoate,Methyl citronellate,Pent-2-enyl hexanoate,Prenyl caproate,Rhodinyl formate,Undecylenic acid,cis-3-Hexenyl 2-methylbutanoate,cis-3-Hexenyl 3-methylbutanoate,cis-3-Hexenyl pentanoate,cis-3-Octenyl propionate,formyl 3,7-dimethyl-6E-octenoate,formyl 4Z-decenoate,gamma-Undecalactone,gamma-undecalactone,trans-2-Hexenyl 2-methylbutyrate,trans-2-Hexyl-1-cyclopropaneacetic acid,xi-gamma-Undecalactone","C08571,C12295,C13823,C13910,C19420,HMDB31062,HMDB31063,HMDB31087,HMDB31272,HMDB31406,HMDB31691,HMDB31843,HMDB32308,HMDB32320,HMDB32396,HMDB32404,HMDB32453,HMDB32461,HMDB32489,HMDB32534,HMDB33371,HMDB33724,HMDB34428,HMDB34429,HMDB36140,HMDB36784,HMDB37106,HMDB37185,HMDB37225,HMDB37309,HMDB38273,HMDB38274,HMDB38277,HMDB38278,HMDB38311,HMDB38906,HMDB40593,LMFA01020130,LMFA01020131,LMFA01030034,LMFA01030035,LMFA01030036,LMFA01030217,LMFA01030218,LMFA01030219,LMFA01030220,LMFA01030221,LMFA01030606,LMFA01030608,LMFA01030609,LMFA01030785,LMFA01030786,LMFA07010198,LMFA07010199,LMFA07010477,LMFA07010524,LMFA07010592,LMFA07040001,LMFA07040030,LMPK09000018,LMPK09000020,LMPK09000021,LMPK09000022,LMPK09000023,LMPK09000024,LMPK09000025,LMPK09000026,LMPK09000027,LMPK09000028,LMPR0102010014"
965,200.1282,2566.28,68873.3,83410.01,81389.36,64994.36,83077.96,81921.82,82578.39,77179.13,80589.93,76580.83,positive,No Fragments,"1-Methyl-2-oxopropyl butyrate,2-Methylpropyl 3-oxobutanoate,2-keto-n-caprylic acid,2-n-Propyl-4-oxopentanoic acid,3-Methylbutyl 2-oxopropanoate,3-Oxooctanoic acid,3-Oxovalproic acid,3-keto-n-caprylic acid,4-keto-n-caprylic acid,5-Butyl-1,4-dioxan-2-one,5-Keto-n-caprylic acid,6-Butyl-1,4-dioxan-2-one,6-Ethyl-1-methyl-2,7,8-trioxabicyclo[3.2.1]octane,6-keto-n-caprylic acid,7-keto-n-caprylic acid,Alpha-Ketooctanoic acid,Butyl acetoacetate,Ecgonine methyl ester,Ethyl 3-oxohexanoate,Isobutyric Acid Anhydride,N-Methylnicotinium,Neotussilagine,Propyl levulinate,Tetrahydrofurfuryl propionate,Tussilagine,cis-4-Hydroxycyclohexylacetic acid,trans-4-Hydroxycyclohexylacetic acid","C02975,C10411,C12448,C16652,C16655,HMDB00451,HMDB00909,HMDB01009,HMDB06406,HMDB10721,HMDB13211,HMDB30303,HMDB31177,HMDB31307,HMDB31820,HMDB36230,HMDB36395,HMDB38305,HMDB40447,HMDB41616,HMDB59938,HMDB59939,HMDB60683,HMDB60685,HMDB62788,LMFA01060016,LMFA01060017,LMFA01060018,LMFA01060019,LMFA01060020,LMFA01060021"
966,259.1902,2552.19,79110.25,63926.18,73991.62,77767.25,70065.87,71900.71,71275.55,62631.9,69798.25,70773.81,positive,No Fragments,"1-Hydroxypropan-2-yl 2-isopropyl-5-methylcyclohexyl carbonate,2-Hydroxypropyl 2-isopropyl-5-methylcyclohexyl carbonate,2-methyl-tridecanedioic acid,3-methyl-tridecanedioic acid,4-methyl-tridecanedioic acid,Dibutyl adipate,Diethyl decanedioate,Diisobutyl adipate,Tetradecanedioic acid","C14253,C14260,HMDB00872,HMDB40429,HMDB41618,HMDB59946,HMDB59947,LMFA01170015,LMFA01170016,LMFA01170017,LMFA01170018"
967,259.1902,2555.03,79110.25,63926.18,73991.62,77767.25,70065.87,71900.71,71275.55,62631.9,69798.25,70773.81,positive,No Fragments,"1-Hydroxypropan-2-yl 2-isopropyl-5-methylcyclohexyl carbonate,2-Hydroxypropyl 2-isopropyl-5-methylcyclohexyl carbonate,2-methyl-tridecanedioic acid,3-methyl-tridecanedioic acid,4-methyl-tridecanedioic acid,Dibutyl adipate,Diethyl decanedioate,Diisobutyl adipate,Tetradecanedioic acid","C14253,C14260,HMDB00872,HMDB40429,HMDB41618,HMDB59946,HMDB59947,LMFA01170015,LMFA01170016,LMFA01170017,LMFA01170018"
968,218.9364,2553.15,86226.31,134370.39,107961.27,104107.84,99650.11,86593.98,66879.74,86504.13,96315.53,114665.31,positive,No Fragments,,
969,320.243,2567.41,130109.12,109732.59,115658.09,110086.88,100510.52,124751.55,120992.4,132766.42,119135.43,110336.11,positive,No Fragments,9-Decenoylcholine,HMDB13206
970,316.1883,2556.03,83198.64,102391.44,92707.88,97893.39,113660.91,55536.32,120629.93,97031.72,85567.12,87867.79,positive,No Fragments,"(+)-2-Sterpurene-6,12,15-triol,(+/-)-5-[(tert-Butylamino)-2'-hydroxypropoxy]-1,2,3,4-tetrahydro-1-naphthol,(4R,5S,7R,11R)-11,12-Dihydroxy-1(10)-spirovetiven-2-one,1-Hydroxyepiacorone,2,3-Dihydroabscisic alcohol,3(4->5)-Abeo-4,11:4,12-diepoxy-3-eudesmanol,6alpha-Carissanol,9-Hydroxy-helminthosporol,Acorusdiol,Apotrichodiol,Bisacurone B,Cuauhtemone,Dendrobane A,Dihydromyoporone,Epioxylubimin,Hydroxypelenolide,Indicumenone,Juvenile hormone III acid,Kikkanol C,Kikkanol E,Nonivamide,Nordihydrocapsaicin,Piperalol,Pramoxine,Sugetriol,Toxin FS2,Urodiolenone,Zedoarondiol,alpha-Carissanol","C04875,C07892,C09645,C16504,C17502,C17605,C17607,C17612,C20216,HMDB29846,HMDB30918,HMDB30919,HMDB32122,HMDB33149,HMDB34574,HMDB35309,HMDB35597,HMDB35613,HMDB35729,HMDB35767,HMDB36328,HMDB36448,HMDB36663,HMDB37063,HMDB37969,HMDB38502,HMDB40685,LMPR0103600003,LMPR0103810001,LMPR0103820001"
971,281.1282,2549.8,88374.81,79289.38,104292.41,86342,97592.15,74273.79,85914.47,80867.25,122658.85,79294.66,positive,No Fragments,"1-Hydroxy-2-acetamidofluorene,3-Hydroxy-2-acetamidofluorene,5-Hydroxy-2-acetamidofluorene,7-Hydroxy-2-acetamidofluorene,Cyclopeptine,N-Hydroxy-2-acetamidofluorene,N-Ornithyl-L-taurine","C03954,C14481,C14633,C14656,C14678,C20579,HMDB33519"
972,296.2347,2562.75,64817.5,76399.13,72518.21,83996.29,67502.18,73701.4,111074.33,84997.48,78074.56,72048.14,positive,No Fragments,"10Z,13Z,16Z-nonadecatrienenitrile,5alpha-Gonane,5beta-Gonane,6,8-Diethyl-4-methyl-3E,5E,7E,9E-dodecatetraene,6-Phenylundecane,7-Ethyl-3,11-dimethyl-1,3Z,6E,10E-tridecatetraene,Aplotaxene,Fenpropidin,Gonane","C17535,C18726,C19638,C19639,C19640,HMDB61857,LMFA09000001,LMFA11000058,LMFA11000124"
973,271.2265,2556.71,66917.51,79280.47,75620.62,66084.84,59160.14,65919.79,72628.49,68247.99,51700.64,66827.94,positive,No Fragments,"(+)-12-hydroxy-9Z-hexadecenoic acid,10-keto palmitic acid,10-oxo-14-methyl-pentadecanoic acid,11-Oxohexadecanoic acid,11-keto palmitic acid,15-oxo-hexadecanoic acid,16-Oxo-palmitate,16-hydroxy-5-hexadecenoic acid,16-hydroxy-6-hexadecenoic acid,16-hydroxy-9E-hexadecenoic acid,16-hydroxy-9Z-hexadecenoic acid,2-keto palmitic acid,2-methyl-4-oxo-pentadecanoic acid,3-Oxohexadecanoic acid,3-keto palmitic acid,4-keto palmitic acid,5-keto palmitic acid,7-keto palmitic acid,8-Oxohexadecanoic acid,8-keto palmitic acid,9-Oxohexadecanoic acid,9-keto palmitic acid,Ambrettolic acid","C19614,HMDB10733,HMDB30972,HMDB30973,HMDB30978,LMFA01050106,LMFA01050192,LMFA01050193,LMFA01050270,LMFA01050271,LMFA01050272,LMFA01060050,LMFA01060051,LMFA01060052,LMFA01060053,LMFA01060054,LMFA01060055,LMFA01060056,LMFA01060057,LMFA01060058,LMFA01060101,LMFA01060104,LMFA01060105"
974,347.1963,2548.59,69138.41,72997.44,56820.88,70333.31,56538.97,69344.4,97478.33,58513.23,68478.21,93742.67,positive,No Fragments,"(6S)-Hydroxyhyoscyamine,Anisodamine,Cetraxate,Convolamine,Lunacridine,Porritoxin","C01564,C03325,C10613,C10710,C10842,C10854"
975,166.0863,2559.33,56562.74,58223.75,82766.49,58792.62,56070.68,66257.16,59814.84,69451.07,62347.54,61195.29,positive,No Fragments,"1-(2-Furanyl)-1-propanone,1-(2-Furanyl)-2-propanone,2,3-Dihydroxytoluene,2-Acetyl-3-methylfuran,2-Acetyl-5-methylfuran,2-Hydroxybenzyl alcohol,3-Hydroxybenzyl alcohol,3-Pyridinebutanoic acid,4,6-Heptadiyne-1,3-diol,4-Hydroxy-1-(3-pyridinyl)-1-butanone,4-Hydroxybenzyl alcohol,4-Methylcatechol,5-(3-Pyridyl)-2-hydroxytetrahydrofuran,Benzocaine,Benzyl glycinate,D-Phenylalanine,D-beta-Phenylalanine,Ethyl 2-aminobenzoate,Gentiatibetine,Guaiacol,L-Phenylalanine,L-beta-Phenylalanine,Mequinol,Methyl N-methylanthranilate,Metolcarb,Norsalsolinol,Orcinol,Phenylalanine,Salicyl alcohol,Tricaine,cis,trans-hepta-2,4,6-trienoic acid,o-Methoxyphenol,p-Hydroxybenzyl alcohol,trans,trans-hepta-2,4,6-trienoic acid","C00079,C00727,C01502,C02057,C02265,C02323,C02923,C03351,C06730,C07527,C15572,C17467,C18090,C18747,C19565,C19578,C20487,C20488,HMDB00159,HMDB00873,HMDB01007,HMDB01398,HMDB04992,HMDB06044,HMDB11724,HMDB29696,HMDB32917,HMDB33485,HMDB33589,HMDB34169,HMDB34877,HMDB35226,HMDB38963,HMDB40280,HMDB59709,HMDB59712,HMDB59934,HMDB62402,HMDB62407,LMFA01030781,LMFA01030782"
976,260.128,2549.55,52004.25,48323.41,60550.07,68159.6,58688.01,71752.61,57213.16,54870.06,65018.57,66621.73,positive,No Fragments,"(R)-Bitalin A,6,8-Dimethyl-6,7,8,9-tetradehydroergoline,Dihydroeuparin,Eupatoriochromene,Norbelladine,Norsanguinine,Platydesmine,Toxol","C08744,C08979,C09006,C12253,C16701,C16721,C20457,HMDB40358"
977,148.0039,886.6,1656183.25,1779246,1820782.5,1569742.13,2004560.13,1967811.75,1983210.63,1942761.38,2208610.25,2114478.75,positive,No Fragments,Taurine,"C00245,HMDB00251"
978,167.0485,886.17,445198.03,407687.53,447662.47,386166.34,444160.94,437768.91,565109.63,517504.06,611565.25,564570.25,positive,No Fragments,Taurine,"C00245,HMDB00251"
979,316.9823,886.27,181821.94,258127.27,285782.75,234285.56,226808.89,312410.78,252177.06,247149.45,305155.03,289121.84,positive,No Fragments,Fenthion,"C14420,HMDB33209"
980,295.0003,886.48,186221.94,166645.14,210840.58,203748.41,204575.11,245900.5,207093.94,226256.98,260662.5,261616.92,positive,No Fragments,"Anthragallol,Purpurin","C10297,C10395"
981,83.0604,1010.51,2454152,2165835.25,2290522.75,2421073.75,2373663.75,2322485.75,2404176.75,2136046,2054222.88,2148821.25,positive,Annotate in FrAnK,"2-Methylimidazole,4-Methylimidazole,Acetonitrile,Fomepizole","C07837,C19261,C19262,HMDB15344,HMDB61869"
982,147.9837,1014.3,386874.28,416842.44,446892.16,406559.34,369522.94,384259.81,416935.84,417679.75,383067.31,404923.53,positive,No Fragments,,
983,146.0812,536.39,694309.94,344817.03,304094.81,277200.09,687232.88,268087.5,385674.41,386301.88,374461.78,344821.81,positive,No Fragments,"(+/-)alpha-hydoxy butyric acid,(R)-3-Hydroxybutanoate,(R)-3-Hydroxybutyric acid,(R)-3-Hydroxyisobutyric acid,(S)-2-amino-6-oxohexanoate,(S)-3-Hydroxybutanoate,(S)-3-Hydroxybutyric acid,(S)-3-Hydroxyisobutyrate,(S)-3-Hydroxyisobutyric acid,(S)-5-Amino-3-oxohexanoate,(S)-5-Amino-3-oxohexanoic acid,2-Amino-5-oxohexanoate,2-Hydroxybutanoic acid,2-Hydroxybutyric acid,2-Keto-6-aminocaproate,2-Methyl-3-hydroxypropanoate,2S-Hydroxybutanoic acid,3-Hydroxy-2-methylpropanoate,3-Hydroxybutyric acid,3-oxo-5S-amino-hexanoic acid,3R-hydroxy-butanoic acid,3R-hydroxy-isobutyric acid,4-Acetamidobutanoate,4-Acetamidobutanoic acid,4-Hydroxyacid,4-Hydroxybutanoic acid,4-Hydroxybutyric acid,4-hydroxy-butyric acid,6-Amino-2-oxohexanoate,Allysine,Alpha-Hydroxyisobutyric acid,D(-)-beta-hydroxy butyric acid,Ethoxyacetic acid,Isobutyrylglycine,L-2-Aminoadipate 6-semialdehyde,L-cis-4-(Hydroxymethyl)-2-pyrrolidinecarboxylic acid,L-trans-5-Hydroxy-2-piperidinecarboxylic acid,Methyl aminolevulinate,Methyl methoxyacetate,N-(2-Carboxymethyl)-morpholine,N-Butyrylglycine,alpha-hydroxy-isobutyric acid","C00989,C01089,C01188,C01991,C02946,C03197,C03239,C03656,C04076,C05825,C05984,C06001,C14601,HMDB00008,HMDB00011,HMDB00023,HMDB00336,HMDB00357,HMDB00442,HMDB00710,HMDB00729,HMDB00730,HMDB00808,HMDB01263,HMDB03681,HMDB12131,HMDB12151,HMDB15127,HMDB29425,HMDB29426,HMDB31212,HMDB59595,HMDB59748,HMDB60265,HMDB61156,LMFA01050004,LMFA01050005,LMFA01050006,LMFA01050243,LMFA01050342,LMFA01050382,LMFA01050417,LMFA01060173"
984,322.8474,2583.06,1524699.13,1685935.25,2435829.75,1346454.25,1376223.13,1411669.75,1640282.88,2025917.63,1535136.63,1613998.63,positive,No Fragments,,
985,326.8437,2576.22,858370.88,973945.56,799417.81,858648.5,826763.06,894814.81,844102.75,878936.63,785149.13,982581.31,positive,No Fragments,,
986,413.7781,2576.2,220800.03,305501.84,228848.95,266338.81,259412.33,300947.34,220416.39,312151.19,269517.25,306854.03,positive,No Fragments,,
987,189.1597,1339.05,1065217.25,954079.38,932605.81,614139.94,1560699,710689.94,1267470.88,1182097.75,1378678.88,1246899.75,positive,Annotate in FrAnK,"7,8-Diaminononanoate,N6,N6,N6-Trimethyl-L-lysine,Propamocarb","C01037,C03793,C18885,HMDB01325"
