reaction_id	reaction_name	protein_coverage	compound_coverage	all_coverage	protein	observed_protein_count	all_protein_count	compound	observed_compound_count	all_compound_count	pathway_ids	pathway_names
R-MMU-1483159	PCho is dephosphorylated to Cho by PHOSPHO1	1.00	0.20	0.33	Q8R2H9 (ENSMUSG00000050860)	1	1	C00009	1	5	R-MMU-1483191	Synthesis of PC
R-MMU-2393939	Cytosolic NUDT5 hydrolyses ADP-ribose to R5P and AMP	1.00	0.20	0.33	Q9JKX6 (ENSMUSG00000025817)	1	1	C00020	1	5	R-MMU-2393930	Phosphate bond hydrolysis by NUDT proteins
R-MMU-2161959	12R-HpETE is reduced to 12R-HETE by GPX1/2/4	1.00	0.20	0.43	P11352 (ENSMUSG00000063856):O70325 (ENSMUSG00000075706)	2	2	C00051	1	5	R-MMU-2142712	Synthesis of 12-eicosatetraenoic acid derivatives
R-MMU-1855205	I(1,3,4,5)P4 is dephosphorylated to I(1,4,5)P3 by PTEN in the cytosol	1.00	0.20	0.33	O08586 (ENSMUSG00000013663)	1	1	C00009	1	5	R-MMU-1855204	Synthesis of IP3 and IP4 in the cytosol
R-MMU-71783	Oxaloacetate + NADH + H+ <=> (S)-Malate + NAD+	1.00	0.20	0.33	P08249 (ENSMUSG00000019179)	1	1	C00149	1	5	R-MMU-71403:R-MMU-70263	Citric acid cycle (TCA cycle):Gluconeogenesis
R-MMU-452036	arginine + H2O => ornithine + urea [ARG2]	1.00	0.20	0.33	O08691 (ENSMUSG00000021125)	1	1	C00077	1	5	R-MMU-70635	Urea cycle
R-MMU-2509831	ITPA hydrolyses XTP to XMP	1.00	0.20	0.33	Q9D892 (ENSMUSG00000074797)	1	1	C00013	1	5	R-MMU-74259	Purine catabolism
R-MMU-2161791	15S-HpETE is reduced to 15S-HETE by GPX1/2/4	0.67	0.20	0.38	P11352 (ENSMUSG00000063856):O70325 (ENSMUSG00000075706)	2	3	C00051	1	5	R-MMU-2142770	Synthesis of 15-eicosatetraenoic acid derivatives
R-MMU-947514	NFS1 transfers sulfur from cysteine onto MOCS3	0.67	0.20	0.38	A2BDX3 (ENSMUSG00000074576):Q9Z1J3 (ENSMUSG00000027618)	2	3	C00041	1	5	R-MMU-947581	Molybdenum cofactor biosynthesis
R-MMU-164377	Activated Adenylate cyclase catalyses cAMP synthesis	0.46	0.20	0.39	P84309 (ENSMUSG00000022840):Q8VHH7 (ENSMUSG00000020654):P51829 (ENSMUSG00000031659):P51830 (ENSMUSG00000005580):Q3V1Q3 (ENSMUSG00000021536):F8VQ52 (ENSMUSG00000022994)	6	13	C00013	1	5	R-MMU-164378	PKA activation in glucagon signalling
R-MMU-1855218	I(1,3,4,5)P4 is dephosphorylated to I(1,3,4)P3 by INPP5[3]/ITPK1 in the cytosol	0.42	0.20	0.35	Q6NVF0 (ENSMUSG00000001173):Q9ES52 (ENSMUSG00000026288):Q8BYN3 (ENSMUSG00000057963):P59644 (ENSMUSG00000034570):Q6P549 (ENSMUSG00000032737)	5	12	C00009	1	5	R-MMU-1855204	Synthesis of IP3 and IP4 in the cytosol
R-MMU-5423653	MGST trimers transfer GS from GSH to AFXBO and AFNBO	0.40	0.20	0.30	Q9CPU4 (ENSMUSG00000026688):Q91VS7 (ENSMUSG00000008540)	2	5	C00051	1	5	R-MMU-5423646	Aflatoxin activation and detoxification
R-MMU-3781018	EPM2A dimer dephosphorylates phosphoglycogen-GYG1	0.25	0.20	0.24	Q9R062 (ENSMUSG00000019528):Q9Z1E4 (ENSMUSG00000003865):Q9WUA5 (ENSMUSG00000055493)	3	12	C00009	1	5	R-MMU-3322077	Glycogen synthesis
R-MMU-3781011	EPM2A dimer dephosphorylates phosphoglycogen-GYG2	0.11	0.20	0.14	Q9WUA5 (ENSMUSG00000055493)	1	9	C00009	1	5	R-MMU-3322077	Glycogen synthesis
R-MMU-5694137	SHMT2 tetramer transfers CH2OH group from 5,10MTHF to glycine	0.00	0.20	0.14		0	2	C00037	1	5	R-MMU-196757	Metabolism of folate and pterines
R-MMU-5696415	ETNPPL tetramer hydrolyses PETA	0.00	0.20	0.17		0	1	C00009	1	5	R-MMU-1483213	Synthesis of PE
R-MMU-174391	MAT1A multimers transfer Ado from ATP to L-Met	0.00	0.20	0.17		0	2	C00013:C00009	2	10	R-MMU-156581:R-MMU-1614635	Methylation:Sulfur amino acid metabolism
R-MMU-8870346	BST1 hydrolyzes NAD+ to yield NAM and ADP-ribose	0.00	0.20	0.14		0	2	C00153	1	5	R-MMU-196807	Nicotinate metabolism
R-MMU-5696021	ADPGK:Mg2+ phosphorylates Glc to G6P	0.00	0.20	0.14		0	2	C00020	1	5	R-MMU-70171	Glycolysis
R-MMU-70920	N-formiminoglutamate + tetrahydrofolate => glutamate + 5-formiminotetrahydrofolate	0.00	0.20	0.17		0	1	C00025	1	5	R-MMU-70921	Histidine catabolism
R-MMU-266012	LTD4 is converted to LTE4 by DPEP1/2	0.00	0.20	0.17		0	1	C00037	1	5	R-MMU-2142691	Synthesis of Leukotrienes (LT) and Eoxins (EX)
R-MMU-6788295	HDHD1:Mg2+ dephosphorylates PURIDP	0.00	0.20	0.17		0	1	C00009	1	5	R-MMU-73614	Pyrimidine salvage
R-MMU-8942575	N-acetylaspartylglutamate synthase A ligates NAA, L-Glu forming NAAG	0.00	0.20	0.14		0	2	C00025	1	5	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-2408551	SeMet is converted to AdoSeMet by MAT	0.00	0.20	0.17		0	2	C00013:C00009	2	10	R-MMU-2408508	Metabolism of ingested SeMet, Sec, MeSec into H2Se
R-MMU-109514	TMP, (d)UMP, uridine 2' monophosphate, or uridine 3'-monophosphate + H2O => thymidine, deoxyuridine, or uridine + orthophosphate [NT5M]	1.00	0.18	0.25	Q8VCE6 (ENSMUSG00000032615)	1	1	C00009:C00299	2	11	R-MMU-73621	Pyrimidine catabolism
R-MMU-109278	NT5E:Zn2+ hydrolyses AMP,dAMP,GMP, IMP	1.00	0.18	0.25	Q61503 (ENSMUSG00000032420)	1	1	C00009:C00020	2	11	R-MMU-74259	Purine catabolism
R-MMU-110141	(d)ADP + ADP <=> (d)AMP + ATP (AK1)	1.00	0.17	0.29	Q9R0Y5 (ENSMUSG00000026817)	1	1	C00020	1	6	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-8850846	NTPDase1 hydrolyzes nucleoside triphosphates	1.00	0.17	0.29	P55772 (ENSMUSG00000048120)	1	1	C00009	1	6	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-8953499	IMPAD1 hydrolyses PAP to AMP	1.00	0.17	0.29	Q80V26 (ENSMUSG00000066324)	1	1	C00020	1	6	R-MMU-156584	Cytosolic sulfonation of small molecules
R-MMU-5652195	SORD oxidizes D-sorbitol to Fru	1.00	0.17	0.29	Q64442 (ENSMUSG00000027227)	1	1	C00095	1	6	R-MMU-5652227	Fructose biosynthesis
R-MMU-8851356	NTPDase5 hydrolyzes nucleoside diphosphates	1.00	0.17	0.23	Q9WUZ9 (ENSMUSG00000021236)	1	1	C00009:C00020	2	12	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-111524	IMP + L-Aspartate + GTP => Adenylosuccinate + GDP + Pi [ADSS]	1.00	0.17	0.29	P46664 (ENSMUSG00000015961):P28650 (ENSMUSG00000011148)	2	2	C00009:C00049	2	12	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-6801456	MTHFD1L transforms 10-formyl-THF to HCOOH and THF	1.00	0.17	0.29	Q3V3R1 (ENSMUSG00000040675)	1	1	C00009	1	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-71031	propionyl-CoA + CO2 + ATP <=> D-methylmalonyl-CoA + ADP + orthophosphate	1.00	0.17	0.38	Q91ZA3 (ENSMUSG00000041650):Q99MN9 (ENSMUSG00000032527)	2	2	C00009	1	6	R-MMU-71032	Propionyl-CoA catabolism
R-MMU-389550	isocitrate + NADP+ => 2-oxoglutarate + CO2 + NADPH + H+	1.00	0.17	0.29	O88844 (ENSMUSG00000025950)	1	1	C00026	1	6	R-MMU-389542	NADPH regeneration
R-MMU-1237129	Acireductone is created	1.00	0.17	0.29	Q8BGB7 (ENSMUSG00000029326)	1	1	C00009	1	6	R-MMU-1237112:R-MMU-1237112	Methionine salvage pathway:Methionine salvage pathway
R-MMU-1655879	Thiosulfate can transfer its sulfur atom to glutathione	1.00	0.17	0.29	E9PY03 (ENSMUSG00000103711)	1	1	C00051	1	6	R-MMU-1614517	Sulfide oxidation to sulfate
R-MMU-71682	glutathione (oxidized) + NADPH + H+ => 2 glutathione (reduced) + NADP+	1.00	0.17	0.29	P47791 (ENSMUSG00000031584)	1	1	C00051	1	6	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-5696839	MTHFD1L ligates HCOOH to THF to form 10-formyl-THF	1.00	0.17	0.29	Q3V3R1 (ENSMUSG00000040675)	1	1	C00009	1	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-70941	alpha-aminoadipoate semialdehyde + NAD+ => alpha-aminoadipate + NADH + H+	1.00	0.17	0.29	Q9DBF1 (ENSMUSG00000053644)	1	1	C00956	1	6	R-MMU-71064	Lysine catabolism
R-MMU-191303	Another isopentenyl pyrophosphate is added to geranyl pyrophosphate	1.00	0.17	0.44	Q920E5 (ENSMUSG00000059743):A0A0G2JEA5 (ENSMUSG00000105204):Q9WTN0 (ENSMUSG00000021302)	3	3	C00013	1	6	R-MMU-191273	Cholesterol biosynthesis
R-MMU-200711	THF polyglutamate + formate + ATP => 10-formylTHF polyglutamate + ADP + orthophosphate	1.00	0.17	0.29	Q922D8 (ENSMUSG00000021048)	1	1	C00009	1	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-3095901	ABCC1 transports cytosolic Cbl to extracellular region	1.00	0.17	0.29	O35379 (ENSMUSG00000023088)	1	1	C00009	1	6	R-MMU-196741	Cobalamin (Cbl, vitamin B12) transport and metabolism
R-MMU-71775	GDP + Orthophosphate + Succinyl-CoA <=> GTP + Succinate + CoA	1.00	0.17	0.38	Q9Z2I8 (ENSMUSG00000061838):Q9WUM5 (ENSMUSG00000052738)	2	2	C00009	1	6	R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-189442	ALAS condenses SUCC-CoA and Gly to form dALA	1.00	0.17	0.38	P08680 (ENSMUSG00000025270):Q8VC19 (ENSMUSG00000032786)	2	2	C00037	1	6	R-MMU-189451	Heme biosynthesis
R-MMU-70773	beta-methylcrotonyl-CoA + ATP + CO2 <=> beta-methylglutaconyl-CoA + ADP + orthophosphate + H2O [MCCA]	1.00	0.17	0.38	Q3ULD5 (ENSMUSG00000021646):Q99MR8 (ENSMUSG00000027709)	2	2	C00009	1	6	R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-74220	(d)AMP + ATP <=> (d)ADP + ADP (AK1)	1.00	0.17	0.29	Q9R0Y5 (ENSMUSG00000026817)	1	1	C00020	1	6	R-MMU-499943	Interconversion of nucleotide di- and triphosphates
R-MMU-389540	isocitrate + NADP+ => 2-oxoglutarate + CO2 + NADPH + H+	1.00	0.17	0.29	O88844 (ENSMUSG00000025950)	1	1	C00026	1	6	R-MMU-389542	NADPH regeneration
R-MMU-70679	ALDH4A1 oxidises L-GluSS to Glu	1.00	0.17	0.29	Q8CHT0 (ENSMUSG00000028737)	1	1	C00025	1	6	R-MMU-70688	Proline catabolism
R-MMU-109480	TMP, uridine 2', 3', or 5' monophosphates, or deoxyuridine 3' or 5' monophosphates + H2O => thymidine or (deoxy)uridine + orthophosphate [NT5C]	1.00	0.17	0.23	Q9JM14 (ENSMUSG00000020736)	1	1	C00009:C00299	2	12	R-MMU-73621	Pyrimidine catabolism
R-MMU-73591	beta-ureidopropionate + H2O => beta-alanine + NH4+ + CO2	1.00	0.17	0.29	Q8VC97 (ENSMUSG00000033427)	1	1	C00099	1	6	R-MMU-73621	Pyrimidine catabolism
R-MMU-191322	Addition of isopentenyl pyrophosphate to DMAPP	1.00	0.17	0.44	Q920E5 (ENSMUSG00000059743):A0A0G2JEA5 (ENSMUSG00000105204):Q9WTN0 (ENSMUSG00000021302)	3	3	C00013	1	6	R-MMU-191273	Cholesterol biosynthesis
R-MMU-70997	ADP + Orthophosphate + Succinyl-CoA <=> ATP + Succinate + CoA	1.00	0.17	0.38	Q9Z2I9 (ENSMUSG00000022110):Q9WUM5 (ENSMUSG00000052738)	2	2	C00009	1	6	R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-5223313	ABCD4 may transport Cbl from lysosomal lumen to cytosol	1.00	0.17	0.29	O89016 (ENSMUSG00000021240)	1	1	C00009	1	6	R-MMU-196741	Cobalamin (Cbl, vitamin B12) transport and metabolism
R-MMU-191414	MVD decarboxylates MVA5PP to IPPP	1.00	0.17	0.29	Q99JF5 (ENSMUSG00000006517)	1	1	C00009	1	6	R-MMU-191273	Cholesterol biosynthesis
R-MMU-8850854	NTPDase1 hydrolyzes nucleoside diphosphates	1.00	0.17	0.29	P55772 (ENSMUSG00000048120)	1	1	C00009	1	6	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-197186	NAPRT1 dimer transfers PRIB to NCA to form NAMN	1.00	0.17	0.29	Q8CC86 (ENSMUSG00000022574)	1	1	C00013	1	6	R-MMU-197264	Nicotinamide salvaging
R-MMU-111215	D-ribose 5-phosphate + 2'-deoxyadenosine 5'-triphosphate (dATP) => 5-Phospho-alpha-D-ribose 1-diphosphate (PRPP) + 2'-deoxyadenosine 5'-monophosphate	1.00	0.17	0.29	Q9D7G0 (ENSMUSG00000031432)	1	1	C00009	1	6	R-MMU-73843	5-Phosphoribose 1-diphosphate biosynthesis
R-MMU-1474146	GCH1 reduces GTP to dihydroneopterin triphosphate	0.67	0.17	0.33	P99025 (ENSMUSG00000046814):Q05915 (ENSMUSG00000037580)	2	3	C00079	1	6	R-MMU-1474151	Tetrahydrobiopterin (BH4) synthesis, recycling, salvage and regulation
R-MMU-6801342	MTHFS transforms 5-formyl-THFPG to 5,10-methenyl-THFPG	0.33	0.17	0.22	Q9D110 (ENSMUSG00000066442)	1	3	C00009	1	6	R-MMU-196757	Metabolism of folate and pterines
R-MMU-8878787	ALPI dimer hydrolyses phosphate monoesters	0.33	0.17	0.22	P24823 (ENSMUSG00000026246)	1	3	C00009	1	6	R-MMU-1483166	Synthesis of PA
R-MMU-169270	ETFDH oxidises ETF (reduced) to ETF, reduces CoQ to QH2	0.33	0.17	0.27	Q9DCW4 (ENSMUSG00000004610):Q921G7 (ENSMUSG00000027809):Q99LC5 (ENSMUSG00000032314)	3	9	C00020	1	6	R-MMU-611105	Respiratory electron transport
R-MMU-164832	ATPase synthesizes ATP	0.32	0.17	0.30	P56384 (ENSMUSG00000018770):G3X9L6 (ENSMUSG00000068706):Q9DB20 (ENSMUSG00000022956):Q06185 (ENSMUSG00000050856):P56135 (ENSMUSG00000038690):Q9D3D9 (ENSMUSG00000003072):Q9DCX2 (ENSMUSG00000034566):Q9CPQ8 (ENSMUSG00000038717):P03930 (ENSMUSG00000064356):Q91VR2 (ENSMUSG00000025781):Q03265 (ENSMUSG00000025428):Q9CRA7 (ENSMUSG00000054894):P56382 (ENSMUSG00000016252):P56383 (ENSMUSG00000062683):Q9CQQ7 (ENSMUSG00000000563):P00848 (ENSMUSG00000064357):P56480 (ENSMUSG00000025393):Q9CR84 (ENSMUSG00000006057):P97450 (ENSMUSG00000022890)	19	60	C00009	1	6	R-MMU-163210	Formation of ATP by chemiosmotic coupling
R-MMU-70482	1,3-bisphospho-D-glycerate + NADH + H+ <=> D-glyceraldehyde 3-phosphate + Orthophosphate + NAD+	0.25	0.17	0.20	V9GXA7 (ENSMUSG00000081607)	1	4	C00009	1	6	R-MMU-70263	Gluconeogenesis
R-MMU-70449	D-glyceraldehyde 3-phosphate + orthophosphate + NAD+ <=> 1,3-bisphospho-D-glycerate + NADH + H+	0.25	0.17	0.20	V9GXA7 (ENSMUSG00000081607)	1	4	C00009	1	6	R-MMU-70171	Glycolysis
R-MMU-1855210	I3P is dephosphorylated to Ins by IMPA1/2 in the cytosol	0.20	0.17	0.18	Q91UZ5 (ENSMUSG00000024525)	1	5	C00009	1	6	R-MMU-1855183	Synthesis of IP2, IP, and Ins in the cytosol
R-MMU-1855154	I1P is dephosphorylated to Ins by IMPA1/2 in the cytosol	0.20	0.17	0.18	Q91UZ5 (ENSMUSG00000024525)	1	5	C00009	1	6	R-MMU-1855183	Synthesis of IP2, IP, and Ins in the cytosol
R-MMU-1855211	I4P is dephosphorylated to Ins by IMPA1/2 in the cytosol	0.20	0.17	0.18	Q91UZ5 (ENSMUSG00000024525)	1	5	C00009	1	6	R-MMU-1855183	Synthesis of IP2, IP, and Ins in the cytosol
R-MMU-5433067	DPEPs hydrolyse glycine from AFXBO-CG, AFNBO-CG	0.00	0.17	0.14		0	1	C00037	1	6	R-MMU-5423646	Aflatoxin activation and detoxification
R-MMU-71118	PAH tetramer hydroxylates L-Phe to L-Tyr	0.00	0.17	0.14		0	1	C00079	1	6	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-8851538	NTPDase8 hydrolyzes nucleoside triphosphates	0.00	0.17	0.14		0	1	C00009	1	6	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-70542	glutamate + acetyl CoA => N-acetyl glutamate + CoA	0.00	0.17	0.14		0	1	C00025	1	6	R-MMU-70635	Urea cycle
R-MMU-209828	Tryptophan is hydroxylated	0.00	0.17	0.12		0	2	C00078	1	6	R-MMU-209931	Serotonin and melatonin biosynthesis
R-MMU-8851110	NTPDase3 hydrolyzes nucleoside triphosphates	0.00	0.17	0.14		0	1	C00009	1	6	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-197268	QPRT transfers PRIB to QUIN to form NAMN	0.00	0.17	0.14		0	1	C00013	1	6	R-MMU-196807	Nicotinate metabolism
R-MMU-6806967	CARKD dehydrates S-NAD(P)HX to NADPH	0.00	0.17	0.10		0	4	C00009	1	6	R-MMU-197264	Nicotinamide salvaging
R-MMU-8851550	NTPDase8 hydrolyzes nucleoside diphosphates	0.00	0.17	0.14		0	1	C00009	1	6	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-8851129	NTPDase3 hydrolyzes nucleoside diphosphates	0.00	0.17	0.14		0	1	C00009	1	6	R-MMU-8850843	Phosphate bond hydrolysis by NTPDase proteins
R-MMU-5433072	GGTs hydrolyse glutamate from AFXBO-SG, AFNBO-SG	0.00	0.17	0.12		0	2	C00025	1	6	R-MMU-5423646	Aflatoxin activation and detoxification
R-MMU-191402	Reduction of presqualene diphosphate to form squalene	1.00	0.14	0.25	P53798 (ENSMUSG00000021273)	1	1	C00013	1	7	R-MMU-191273	Cholesterol biosynthesis
R-MMU-2046098	Activation of linoleic acid to linoleoyl-CoA	1.00	0.14	0.25	P41216 (ENSMUSG00000018796)	1	1	C00013	1	7	R-MMU-2046105	Linoleic acid (LA) metabolism
R-MMU-2046085	Activation of alpha-linolenic acid to alpha-linolenoyl-CoA	1.00	0.14	0.25	P41216 (ENSMUSG00000018796)	1	1	C00013	1	7	R-MMU-2046106	alpha-linolenic acid (ALA) metabolism
R-MMU-8876889	Btn-ACACB:2Mn2+ polymer carboxylates Ac-CoA to form Mal-CoA	1.00	0.14	0.33	Q9CQ20 (ENSMUSG00000008035):Q62264 (ENSMUSG00000035686)	2	2	C00009	1	7	R-MMU-200425	Import of palmitoyl-CoA into the mitochondrial matrix
R-MMU-74258	Xanthine + H2O + O2 => Urate + H2O2	1.00	0.14	0.25	Q00519 (ENSMUSG00000024066)	1	1	C00385	1	7	R-MMU-74259	Purine catabolism
R-MMU-71200	kynurenine + O2 + NADPH + H+ => 3-hydroxykynurenine + NADP+ + H2O	1.00	0.14	0.25	Q91WN4 (ENSMUSG00000039783)	1	1	C00328	1	7	R-MMU-71240	Tryptophan catabolism
R-MMU-450984	isocitrate + NADP+ => alpha-ketoglutarate + CO2 + NADPH + H+ [IDH2]	1.00	0.14	0.25	P54071 (ENSMUSG00000030541)	1	1	C00026	1	7	R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-880007	(R)-2-hydroxyglutarate + FAD => 2-oxoglutarate + FADH2	1.00	0.14	0.25	Q8CIM3 (ENSMUSG00000073609)	1	1	C00026	1	7	R-MMU-880009	Interconversion of 2-oxoglutarate and 2-hydroxyglutarate
R-MMU-200555	acetyl-CoA + bicarbonate + ATP => malonyl-CoA + H2O + ADP + orthophosphate	1.00	0.14	0.25	Q5SWU9 (ENSMUSG00000020532)	1	1	C00009	1	7	R-MMU-75105	Fatty acyl-CoA biosynthesis
R-MMU-508308	beta-methylglutaconyl-CoA + ADP + orthophosphate + H2O <=> beta-methylcrotonyl-CoA + ATP + CO2 [MCCA]	1.00	0.14	0.33	Q3ULD5 (ENSMUSG00000021646):Q99MR8 (ENSMUSG00000027709)	2	2	C00009	1	7	R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-75851	Btn-ACACA:2Mn2+ polymer carboxylates Ac-CoA to form Mal-CoA	1.00	0.14	0.33	Q9CQ20 (ENSMUSG00000008035):Q62264 (ENSMUSG00000035686)	2	2	C00009	1	7	R-MMU-200425	Import of palmitoyl-CoA into the mitochondrial matrix
R-MMU-389639	phytanoyl-CoA + 2-oxoglutarate + O2 => 2-hydroxyphytanoyl-CoA + succinate + CO2	1.00	0.14	0.25	O35386 (ENSMUSG00000026664)	1	1	C00026	1	7	R-MMU-389599	Alpha-oxidation of phytanate
R-MMU-109624	(2'-deoxy)adenosine + ATP => (d)AMP + ADP (ADK)	1.00	0.14	0.25	P55264 (ENSMUSG00000039197)	1	1	C00020	1	7	R-MMU-74217	Purine salvage
R-MMU-71241	TMLHE dimer dioxygenates TMLYS and 2OG to form HTMLYS and SUCCA	1.00	0.14	0.25	Q91ZE0 (ENSMUSG00000079834)	1	1	C00026	1	7	R-MMU-71262	Carnitine synthesis
R-MMU-73598	(2'-deoxy)cytidine + ATP => (d)CMP + ADP (DCK)	1.00	0.14	0.25	P43346 (ENSMUSG00000029366)	1	1	C00475	1	7	R-MMU-73614	Pyrimidine salvage
R-MMU-176054	GST dimers conjugate GSH with cytosolic substrates	0.75	0.14	0.53	Q9JHF7 (ENSMUSG00000029919):Q8K2Q2 (ENSMUSG00000025069):O09131 (ENSMUSG00000025068):P19157 (ENSMUSG00000060803):Q9WVL0 (ENSMUSG00000021033):Q80W21 (ENSMUSG00000004035):P48774 (ENSMUSG00000004032):Q61133 (ENSMUSG00000033318):P30115 (ENSMUSG00000025934)	9	12	C00051	1	7	R-MMU-156590	Glutathione conjugation
R-MMU-75848	ACLY tetramer transforms CIT to Ac-CoA	0.67	0.14	0.30	Q91V92 (ENSMUSG00000020917):Q69ZX6 (ENSMUSG00000034543)	2	3	C00009	1	7	R-MMU-75105	Fatty acyl-CoA biosynthesis
R-MMU-1483203	PA is dephosphorylated to DAG by LPIN	0.50	0.14	0.27	Q99PI5 (ENSMUSG00000024052):Q99PI4 (ENSMUSG00000027412)	2	4	C00009	1	7	R-MMU-1483191:R-MMU-1483213	Synthesis of PC:Synthesis of PE
R-MMU-176059	GST trimers transfer GS from GSH to luminal substrates	0.40	0.14	0.25	Q9CPU4 (ENSMUSG00000026688):Q91VS7 (ENSMUSG00000008540)	2	5	C00051	1	7	R-MMU-156590	Glutathione conjugation
R-MMU-5693153	PPM1K dephosphorylates p-BCKDH	0.36	0.14	0.28	Q8BXN7 (ENSMUSG00000037826):Q6P3A8 (ENSMUSG00000032263):O08749 (ENSMUSG00000020664):P53395 (ENSMUSG00000000340)	4	11	C00009	1	7	R-MMU-70895	Branched-chain amino acid catabolism
R-MMU-2160492	IL4I1:FAD oxidises L-Phe to kPPV	0.00	0.14	0.10		0	3	C00079	1	7	R-MMU-71182	Phenylalanine and tyrosine catabolism
R-MMU-70940	saccharopine + NAD+ + H2O => alpha-aminoadipic semialdehyde + glutamate + NADH + H+	0.00	0.14	0.12		0	1	C00025	1	7	R-MMU-71064	Lysine catabolism
R-MMU-111285	Formation of phosphoribosyl pyrophosphate amidotransferase tetramer	0.00	0.14	0.09		0	4	C00020	1	7	R-MMU-73817	Purine ribonucleoside monophosphate biosynthesis
R-MMU-70938	lysine + alpha-ketoglutarate +NADPH + H+ => saccharopine + NADP+ + H2O	0.00	0.14	0.12		0	1	C00026	1	7	R-MMU-71064	Lysine catabolism
R-MMU-73616	thymine + NADPH + H+ => 5,6-dihydrothymine + NADP+	0.00	0.14	0.12		0	1	C00178	1	7	R-MMU-73621	Pyrimidine catabolism
R-MMU-70333	KHK dimer phosphorylates Fru to Fru 1-P	0.00	0.14	0.09		0	4	C00095	1	7	R-MMU-70350	Fructose catabolism
R-MMU-389821	glycine + O2 => glyoxylate + H2O2 + NH4+	0.00	0.14	0.10		0	3	C00037	1	7	R-MMU-389661	Glyoxylate metabolism and glycine degradation
R-MMU-71261	BBOX1:Fe2+ dimer dioxygenates TEABT and 2OG to form CAR and SUCCA	0.00	0.14	0.12		0	1	C00026	1	7	R-MMU-71262	Carnitine synthesis
R-MMU-70600	glutamate + NAD(P)+ => alpha-ketoglutarate + NH4+ + NAD(P)H + H+ [GLUD1]	1.00	0.13	0.19	P26443 (ENSMUSG00000021794)	1	1	C00025:C00026	2	15	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-70589	alpha-ketoglutarate + NH4+ + NAD(P)H + H+ <=> glutamate + NAD(P)+ [GLUD1]	1.00	0.13	0.19	P26443 (ENSMUSG00000021794)	1	1	C00025:C00026	2	15	R-MMU-70614	Amino acid synthesis and interconversion (transamination)
R-MMU-1855166	PP-IP4 is dephosphorylated to I(1,3,4,5,6)P5 by NUDT4 in the cytosol	1.00	0.12	0.22	Q8R2U6 (ENSMUSG00000020029)	1	1	C00009	1	8	R-MMU-1855167	Synthesis of pyrophosphates in the cytosol
R-MMU-8849969	PI(4,5)P2, PI(3,4)P2 and PI(3,4,5)P3 are dephosphorylated to PI5P, PI3P and PI(3,4)P by INPP5F at the endosome membrane	1.00	0.12	0.22	Q8CDA1 (ENSMUSG00000042105)	1	1	C00009	1	8	R-MMU-1660516	Synthesis of PIPs at the early endosome membrane
R-MMU-947535	Cyclisation of GTP to precursor Z	0.50	0.12	0.20	Q5RKZ7 (ENSMUSG00000064120)	1	2	C00013	1	8	R-MMU-947581	Molybdenum cofactor biosynthesis
R-MMU-70967	isocitrate + NAD+ => alpha-ketoglutarate + CO2 + NADH + H+ [IDH3]	0.50	0.12	0.25	Q9D6R2 (ENSMUSG00000032279):P70404 (ENSMUSG00000002010)	2	4	C00026	1	8	R-MMU-71403	Citric acid cycle (TCA cycle)
R-MMU-169260	Reducing equivalents from beta-oxidation of fatty acids transfer to ETF	0.17	0.12	0.15	Q9DCW4 (ENSMUSG00000004610):Q99LC5 (ENSMUSG00000032314)	2	12	C00020	1	8	R-MMU-611105	Respiratory electron transport
R-MMU-174963	NAT1 acetylation	0.17	0.12	0.14	P50295 (ENSMUSG00000051147)	1	6	C00568	1	8	R-MMU-156582	Acetylation
R-MMU-70555	2 ATP + NH4+ + HCO3- => 2 ADP + orthophosphate + carbamoyl phosphate [mitochondrial]	0.00	0.12	0.11		0	1	C00009	1	8	R-MMU-70635	Urea cycle
R-MMU-109387	(d)AMP, (d)GMP, or (d)IMP + H2O => (deoxy)adenosine, (deoxy)guanosine, or (deoxy)inosine + orthophosphate (NT5C1A)	0.00	0.12	0.12		0	1	C00009:C00020	2	16	R-MMU-74259	Purine catabolism
